Nationality,Positions,Best Position,Field Position,Name,Age,Height,Weight,Club,Start Year,End Year,↓OVA,POT,Value,Value_int,Wage,Wage_amt,Release Clause
Denmark,"RM, ST, LM",RM,MID,M. Daramy,18,180cm,71kg,FC København,2018,2023,67,85,€2.6M,2600000.0,€2K,2000.0,€3.1M
Spain,"ST, CAM, LM",ST,ATT,Kaxe,26,183cm,80kg,SD Ponferradina,2019,2023,67,70,€1.3M,1300000.0,€4K,4000.0,€1.6M
Chile,"RW, RM",RM,MID,C. Munder,20,166cm,57kg,Universidad Católica,2018,2020,67,78,€2.2M,2200000.0,€4K,4000.0,€2.1M
Brazil,"ST, CF, LM",ST,ATT,Adaílton,29,176cm,83kg,FC Tokyo,2020,2021,67,67,€1M,1000000.0,€5K,5000.0,€938K
Spain,"CB, RB",CB,DEF,Guillem Molina,20,183cm,71kg,Valencia CF,2020,2021,67,77,€2.1M,2100000.0,€7K,7000.0,€2.5M
United States,ST,ST,ATT,B. Wood,27,180cm,79kg,Hamburger SV,2016,2021,67,68,€1.2M,1200000.0,€6K,6000.0,€1.5M
Spain,GK,GK,GK,Andrés Prieto,26,194cm,91kg,Birmingham City,2020,2023,67,71,€1.1M,1100000.0,€5K,5000.0,€1.4M
England,"CDM, CM, RB",CDM,MID,D. Ball,24,185cm,75kg,Queens Park Rangers,2019,2022,67,73,€1.5M,1500000.0,€3K,3000.0,€1.9M
United States,"LB, LM",LB,DEF,G. Garza,28,173cm,68kg,FC Cincinnati,2019,2020,67,67,€925K,925000.0,€3K,3000.0,€943K
Brazil,CB,CB,DEF,Antônio Carlos,27,191cm,86kg,Orlando City SC,2020,2024,67,70,€1.2M,1200000.0,€3K,3000.0,€1.3M
Uruguay,CB,CB,DEF,M. Risso,32,193cm,88kg,Club Plaza Colonia,2019,2025,67,67,€650K,650000.0,€500,500.0,€1.1M
United States,LB,LB,DEF,J. Bornstein,35,173cm,75kg,Chicago Fire,2019,2020,67,67,€325K,325000.0,€2K,2000.0,€330K
England,"RM, LM, LW",RM,MID,C. Noone,32,177cm,69kg,Melbourne City FC,2019,2021,67,67,€800K,800000.0,€5K,5000.0,€750K
Germany,"LB, LWB, LM",LB,DEF,D. Kempe,34,187cm,86kg,SV Wehen Wiesbaden,2020,2021,67,67,€375K,375000.0,€3K,3000.0,€399K
Venezuela,ST,ST,ATT,M. Rondón,34,182cm,74kg,CFR Cluj,2019,2023,67,67,€500K,500000.0,€6K,6000.0,€560K
Paraguay,CB,CB,DEF,P. Da Silva,40,180cm,76kg,Club Libertad,2017,2021,67,67,€0,0.0,€500,500.0,€0
Austria,"LB, LM",LB,DEF,C. Klem,29,172cm,64kg,TSV Hartberg,2019,2021,67,67,€900K,900000.0,€3K,3000.0,€906K
Scotland,"CM, CDM",CM,MID,L. MacLeod,26,175cm,72kg,Plymouth Argyle,2020,2022,67,70,€1.3M,1300000.0,€5K,5000.0,€1.7M
Brazil,ST,ST,ATT,Enzio Julião,24,185cm,78kg,Bahia,2019,2023,67,67,€1.2M,1200000.0,€5K,5000.0,€1.6M
Spain,CB,CB,DEF,Gonzalo Verdú,31,185cm,80kg,Elche CF,2017,2022,67,67,€700K,700000.0,€6K,6000.0,€1.3M
Romania,CB,CB,DEF,A. Chindriș,21,191cm,85kg,FC Botoşani,2017,2021,67,79,€2.4M,2400000.0,€3K,3000.0,€2M
Wales,ST,ST,ATT,C. Doidge,27,185cm,77kg,Hibernian,2019,2022,67,67,€1.1M,1100000.0,€4K,4000.0,€1.4M
Serbia,"RB, CB",RWB,DEF,P. Golubović,25,179cm,72kg,KV Kortrijk,2018,2021,67,70,€1.2M,1200000.0,€5K,5000.0,€1.3M
Kosovo,"CDM, CM",CDM,MID,H. Kryeziu,27,181cm,75kg,FC Zürich,2018,2021,67,70,€1.2M,1200000.0,€5K,5000.0,€1.3M
England,"CM, CAM",CDM,MID,M. Crooks,26,192cm,80kg,Rotherham United,2019,2022,67,70,€1.3M,1300000.0,€14K,14000.0,€1.8M
Brazil,CB,CB,DEF,Bruno Soares,31,194cm,85kg,WSG Tirol,2020,2021,67,67,€700K,700000.0,€4K,4000.0,€834K
Germany,"RM, CF",RM,MID,J. Thielmann,18,178cm,70kg,1. FC Köln,2019,2022,67,84,€2.6M,2600000.0,€3K,3000.0,€3.9M
Mexico,LM,CAM,MID,K. Castañeda,20,171cm,73kg,Deportivo Toluca,2017,2021,67,82,€2.5M,2500000.0,€6K,6000.0,€4M
Mexico,"CAM, LM",LM,MID,M. Domínguez,20,159cm,58kg,Cruz Azul,2019,2023,67,75,€2.2M,2200000.0,€14K,14000.0,€2.1M
Japan,"CDM, CM",CDM,MID,R. Takeuchi,29,173cm,67kg,Shimizu S-Pulse,2009,2022,67,67,€875K,875000.0,€2K,2000.0,€813K
United States,RB,RB,DEF,J. Nerwinski,25,183cm,79kg,Vancouver Whitecaps FC,2017,2020,67,70,€1.2M,1200000.0,€3K,3000.0,€1.3M
Germany,"ST, RW, LW",ST,ATT,L. Nmecha,21,185cm,80kg,RSC Anderlecht,Jun ,Loan,67,78,€2.3M,2300000.0,€26K,26000.0,€0
Haiti,"RM, LM",RM,MID,H. Bazile,30,182cm,78kg,Le Havre AC,2018,2021,67,67,€975K,975000.0,€3K,3000.0,€1.3M
Spain,"CDM, CM",CM,MID,Pablo Larrea,26,173cm,69kg,SD Ponferradina,2019,2021,67,71,€1.3M,1300000.0,€3K,3000.0,€1.4M
Colombia,"LM, RM, ST",LM,MID,R. Vanegas,27,176cm,72kg,Deportivo Pasto,2019,2020,67,67,€1.1M,1100000.0,€1K,1000.0,€1.1M
Turkey,"CDM, CM",CM,MID,T. Antalyalı,25,180cm,71kg,Galatasaray SK,2019,2023,67,71,€1.3M,1300000.0,€16K,16000.0,€1.8M
Germany,"RB, LB",RB,DEF,B. Kopplin,31,184cm,80kg,Randers FC,2019,2024,67,67,€750K,750000.0,€5K,5000.0,€688K
Japan,"CB, CDM, CM",CB,DEF,Y. Kimoto,26,183cm,73kg,Cerezo Osaka,2016,2021,67,70,€1.2M,1200000.0,€3K,3000.0,€1.2M
Netherlands,"CB, LB, RB",CDM,MID,B. van Polen,34,179cm,73kg,PEC Zwolle,2007,2021,67,67,€325K,325000.0,€4K,4000.0,€399K
Sweden,"CDM, CM",CDM,MID,S. Eriksson,31,184cm,75kg,IFK Göteborg,2020,2022,67,67,€725K,725000.0,€2K,2000.0,€719K
Germany,"CDM, CM",CDM,MID,D. Stahl,31,182cm,79kg,SpVgg Unterhaching,2016,2022,67,67,€725K,725000.0,€3K,3000.0,€834K
Austria,RB,RB,DEF,F. Koch,31,180cm,68kg,WSG Tirol,2020,2021,67,67,€750K,750000.0,€4K,4000.0,€798K
England,"CDM, CM",CDM,MID,D. Gape,25,175cm,70kg,Wycombe Wanderers,2017,2022,67,71,€1.3M,1300000.0,€5K,5000.0,€1.7M
Korea Republic,"LW, RM, CM",LW,ATT,Jung Seok Hwa,29,171cm,63kg,Gangwon FC,2018,2025,67,67,€1M,1000000.0,€4K,4000.0,€938K
Canada,CM,CDM,MID,W. Johnson,33,178cm,72kg,lub,Free,Free,67,67,€0,0.0,€0,0.0,€0
Belgium,GK,GK,GK,M. Svilar,20,189cm,81kg,SL Benfica,2017,2022,67,78,€1.9M,1900000.0,€2K,2000.0,€2.4M
Netherlands,CB,CB,DEF,M. Knoester,21,186cm,77kg,Heracles Almelo,2019,2021,67,77,€2.1M,2100000.0,€2K,2000.0,€1.8M
Netherlands,GK,GK,GK,L. Koopmans,26,190cm,83kg,ADO Den Haag,2020,2023,67,69,€950K,950000.0,€3K,3000.0,€1M
Australia,"CDM, CM",CDM,MID,J. Jeggo,28,178cm,71kg,lub,Free,Free,67,67,€0,0.0,€0,0.0,€0
Canada,"ST, LM",ST,ATT,T. Akindele,28,185cm,79kg,Orlando City SC,2019,2025,67,67,€1M,1000000.0,€4K,4000.0,€1.2M
Burkina Faso,"LB, RB",LWB,DEF,Y. Coulibaly,25,175cm,68kg,Le Havre AC,2017,2021,67,70,€1.2M,1200000.0,€3K,3000.0,€1.6M
Chile,"LW, CAM, ST",CAM,MID,J. Vargas,22,170cm,70kg,Unión La Calera,2020,2022,67,75,€2.3M,2300000.0,€1K,1000.0,€1.7M
Northern Ireland,ST,ST,ATT,J. Magennis,29,188cm,92kg,Hull City,2019,2021,67,67,€1M,1000000.0,€4K,4000.0,€1.3M
Saudi Arabia,"RM, LM",LM,MID,M. Al Kuwaykibi,25,168cm,59kg,Ettifaq FC,2016,2024,67,70,€1.3M,1300000.0,€9K,9000.0,€1.6M
Congo,"LW, RW, LM",LW,ATT,D. Saint-Louis,25,184cm,78kg,ESTAC Troyes,2020,2023,67,69,€1.3M,1300000.0,€3K,3000.0,€1.7M
England,"RB, LB",RB,DEF,J. Bree,22,178cm,74kg,Luton Town,2020,2022,67,76,€2.2M,2200000.0,€4K,4000.0,€2.3M
Australia,"CDM, CM",CDM,MID,K. Baccus,22,176cm,67kg,Western Sydney Wanderers,2016,2022,67,73,€1.5M,1500000.0,€3K,3000.0,€1.4M
Greece,"LB, CB, LM",LB,DEF,C. Lykogiannis,26,190cm,78kg,Cagliari,2018,2022,67,69,€1.2M,1200000.0,€10K,10000.0,€1.4M
Czech Republic,"CDM, CM",CDM,MID,L. Droppa,31,183cm,84kg,Gaz Metan Mediaş,2019,2021,67,67,€725K,725000.0,€4K,4000.0,€776K
Australia,GK,GK,GK,A. Redmayne,31,194cm,89kg,Sydney FC,2017,2022,67,67,€550K,550000.0,€3K,3000.0,€625K
Austria,"LB, LWB, LM",LWB,DEF,E. Karic,23,184cm,81kg,SCR Altach,2018,2021,67,72,€1.4M,1400000.0,€4K,4000.0,€1.4M
France,CM,CDM,MID,D. Poha,23,173cm,75kg,Vitória Guimarães,2020,2024,67,75,€2.3M,2300000.0,€3K,3000.0,€2.5M
Spain,"ST, RM, RWB",ST,ATT,Aitor Ruibal,24,176cm,75kg,Real Betis,2016,2022,67,74,€2.1M,2100000.0,€7K,7000.0,€2.5M
Austria,"CDM, CM, CB",CDM,MID,M. Lackner,29,188cm,80kg,SV Ried,2020,2025,67,67,€875K,875000.0,€4K,4000.0,€943K
Uruguay,"RB, CM, RM",RM,MID,M. Corujo,34,170cm,73kg,Sol de América,2020,2021,67,67,€375K,375000.0,€500,500.0,€591K
Korea Republic,"CM, CDM",CM,MID,Kim Do Hyeok,28,173cm,71kg,Incheon United FC,2014,2025,67,67,€1M,1000000.0,€2K,2000.0,€938K
Argentina,"CAM, ST",CAM,MID,F. Elizari,29,172cm,72kg,Unión de Santa Fe,2020,2020,67,67,€1M,1000000.0,€5K,5000.0,€1.1M
Czech Republic,"CAM, CM, LM",CAM,MID,A. Karabec,16,185cm,74kg,Sparta Praha,2020,2023,67,83,€2.5M,2500000.0,€500,500.0,€4.2M
England,"CB, RB",CB,DEF,T. Clarke,32,180cm,77kg,Salford City,2020,2022,67,67,€650K,650000.0,€7K,7000.0,€875K
Uruguay,RB,RB,DEF,A. Gabrielli,27,179cm,77kg,Newell's Old Boys,2019,2023,67,67,€975K,975000.0,€5K,5000.0,€1M
Spain,ST,ST,ATT,Miguel,20,180cm,77kg,CD Leganés,Jun ,Loan,67,80,€2.5M,2500000.0,€6K,6000.0,€0
Senegal,LB,LB,DEF,A. Mbengue,26,178cm,68kg,Stade Malherbe Caen,2017,2021,67,70,€1.2M,1200000.0,€3K,3000.0,€1.5M
Sweden,ST,ST,ATT,L. Hallenius,31,187cm,75kg,IFK Norrköping,2020,2023,67,67,€850K,850000.0,€3K,3000.0,€844K
France,CB,CB,DEF,D. Batubinsika,24,184cm,84kg,Royal Antwerp FC,2017,2022,67,73,€1.5M,1500000.0,€6K,6000.0,€1.6M
Japan,"RM, RW",RM,MID,S. Kaneko,25,163cm,58kg,Shimizu S-Pulse,2014,2021,67,69,€1.3M,1300000.0,€2K,2000.0,€1.2M
Hungary,"LM, RM",LM,MID,K. Vida,25,177cm,77kg,Piast Gliwice,2020,2023,67,69,€1.3M,1300000.0,€3K,3000.0,€1.3M
Uruguay,"RB, RM",RB,DEF,J. Acosta,26,173cm,71kg,Peñarol,2020,2020,67,69,€1.2M,1200000.0,€500,500.0,€1.8M
Costa Rica,LB,LB,DEF,B. Oviedo,30,172cm,70kg,FC København,2019,2022,67,67,€875K,875000.0,€7K,7000.0,€780K
Iceland,"ST, CM",ST,ATT,M. Vilhjálmsson,33,185cm,85kg,Vålerenga Fotball,2019,2021,67,67,€650K,650000.0,€2K,2000.0,€594K
Turkey,"LB, LM",LB,DEF,S. Aytaç,28,187cm,85kg,Denizlispor,2020,2021,67,67,€925K,925000.0,€8K,8000.0,€1.3M
England,GK,GK,GK,D. Stockdale,34,191cm,84kg,Wycombe Wanderers,2020,2021,67,67,€170K,170000.0,€4K,4000.0,€601K
Croatia,CB,CB,DEF,A. Puljić,32,187cm,79kg,Dinamo Bucureşti,2019,2021,67,67,€650K,650000.0,€2K,2000.0,€675K
Germany,CDM,CDM,MID,M. Schuster,24,179cm,77kg,SV Waldhof Mannheim,2017,2021,67,73,€1.5M,1500000.0,€1K,1000.0,€1.6M
China PR,RB,RB,DEF,Zhao Mingjian,32,181cm,80kg,Shanghai Greenland Shenhua FC,2020,2021,67,67,€700K,700000.0,€6K,6000.0,€736K
Canada,"LM, RM, CM",LM,MID,D. Wotherspoon,30,180cm,76kg,St. Johnstone FC,2013,2021,67,67,€975K,975000.0,€3K,3000.0,€1.3M
France,GK,GK,GK,A. Olliero,24,193cm,85kg,Pau FC,Jun ,Loan,67,72,€1.2M,1200000.0,€5K,5000.0,€0
England,CB,CB,DEF,M. Beevers,30,193cm,80kg,Peterborough United,2019,2022,67,67,€825K,825000.0,€5K,5000.0,€1.1M
Venezuela,GK,GK,GK,J. Graterol,23,182cm,73kg,América de Cali,2020,2024,67,73,€1.3M,1300000.0,€600,600.0,€1.3M
England,GK,GK,GK,B. Amos,30,193cm,76kg,Charlton Athletic,2019,2021,67,67,€675K,675000.0,€3K,3000.0,€919K
Ghana,CM,CAM,MID,J. Amoah,25,177cm,69kg,Vitória Guimarães,2015,2023,67,71,€1.4M,1400000.0,€4K,4000.0,€2.1M
Scotland,RB,RB,DEF,J. Grimmer,26,184cm,83kg,Wycombe Wanderers,2019,2021,67,69,€1.2M,1200000.0,€5K,5000.0,€1.5M
Paraguay,"CM, CDM",CM,MID,E. Aranda,35,175cm,72kg,Cusco FC,2020,2020,67,67,€400K,400000.0,€500,500.0,€699K
France,ST,ST,ATT,E. Rivière,30,182cm,76kg,Crotone,2020,2022,67,67,€1M,1000000.0,€5K,5000.0,€1.3M
Greece,"CDM, CM",CDM,MID,S. Gentsoglou,29,185cm,78kg,Al Adalah,2020,2020,67,67,€875K,875000.0,€7K,7000.0,€1.1M
Turkey,"LM, RM",ST,ATT,I. Parlak,33,181cm,74kg,Kayserispor,2020,2022,67,67,€625K,625000.0,€5K,5000.0,€950K
England,"CB, RB",CB,DEF,M. Pennington,25,185cm,77kg,Everton,2013,2021,67,69,€1.1M,1100000.0,€19K,19000.0,€1.6M
Korea Republic,CB,CB,DEF,Lim Chai Min,29,188cm,82kg,Gangwon FC,2020,2025,67,68,€950K,950000.0,€3K,3000.0,€961K
Ecuador,RB,RB,DEF,K. Peralta,23,189cm,79kg,El Nacional,2018,2024,67,73,€1.5M,1500000.0,€500,500.0,€2.2M
Iceland,CB,CB,DEF,H. Hermannsson,25,190cm,84kg,Brøndby IF,2016,2021,67,71,€1.3M,1300000.0,€6K,6000.0,€1.2M
Bosnia Herzegovina,"ST, LM",CAM,MID,H. Duljević,26,186cm,85kg,Nîmes Olympique,2019,2022,67,68,€1.2M,1200000.0,€9K,9000.0,€1.9M
Denmark,GK,GK,GK,O. Christensen,21,190cm,82kg,Odense Boldklub,2016,2023,67,76,€2M,2000000.0,€2K,2000.0,€1.3M
Denmark,"CDM, CM",CDM,MID,A. Rømer,26,186cm,74kg,Randers FC,2018,2024,67,68,€1.1M,1100000.0,€5K,5000.0,€1.1M
Saudi Arabia,CB,CB,DEF,M. Al Fatil,28,179cm,72kg,Al Ahli,2009,2021,67,68,€975K,975000.0,€12K,12000.0,€1.3M
Argentina,ST,CAM,MID,F. Colidio,20,179cm,68kg,Sint-Truidense VV,Jun ,Loan,67,78,€2.3M,2300000.0,€21K,21000.0,€0
Haiti,ST,ST,ATT,F. Pierrot,25,193cm,93kg,En Avant de Guingamp,2019,2023,67,71,€1.4M,1400000.0,€4K,4000.0,€1.9M
Denmark,CB,CB,DEF,R. Thelander,28,190cm,87kg,Aalborg BK,2019,2022,67,67,€875K,875000.0,€5K,5000.0,€844K
Japan,ST,ST,ATT,K. Suzuki,30,179cm,77kg,Cerezo Osaka,2019,2021,67,67,€1M,1000000.0,€4K,4000.0,€943K
Romania,"ST, RW, LW",CAM,MID,A. Ivan,23,189cm,81kg,Universitatea Craiova,2019,2023,67,73,€1.6M,1600000.0,€4K,4000.0,€1.7M
Poland,CB,CB,DEF,M. Wieteska,23,187cm,77kg,Legia Warszawa,2018,2022,67,75,€2.1M,2100000.0,€4K,4000.0,€1.6M
Greece,GK,GK,GK,I. Gelios,28,190cm,88kg,Holstein Kiel,2019,2022,67,69,€875K,875000.0,€6K,6000.0,€1.1M
Austria,"RM, LM",RM,MID,M. Meilinger,28,181cm,77kg,SCR Altach,2018,2024,67,67,€1M,1000000.0,€5K,5000.0,€1.1M
Norway,CM,CM,MID,K. Barmen,26,190cm,76kg,SK Brann,2009,2021,67,68,€1.2M,1200000.0,€2K,2000.0,€1.2M
United States,"ST, RM",ST,ATT,J. Agudelo,27,185cm,83kg,Inter Miami,2020,2021,67,68,€1.2M,1200000.0,€3K,3000.0,€1.4M
Brazil,ST,ST,ATT,Jonaldo Santoso,28,186cm,80kg,Atlético Clube Goianiense,2019,2023,67,67,€1M,1000000.0,€6K,6000.0,€1.5M
Australia,"CDM, CM, RM",CDM,MID,K. Baccus,28,180cm,75kg,Kaizer Chiefs,2019,2022,67,67,€900K,900000.0,€500,500.0,€1.5M
Portugal,"CM, CAM",RM,MID,Tiago Dantas,19,169cm,58kg,Bayern München II,Jun ,Loan,67,83,€2.6M,2600000.0,€3K,3000.0,€0
Japan,"LM, RM",RM,MID,Y. Soma,23,165cm,66kg,Nagoya Grampus,2018,2023,67,71,€1.5M,1500000.0,€2K,2000.0,€1.3M
Croatia,RM,CAM,MID,I. Fiolić,24,176cm,70kg,Cracovia,Jun ,Loan,67,72,€1.5M,1500000.0,€5K,5000.0,€0
Austria,GK,GK,GK,M. Kuster,26,194cm,90kg,Karlsruher SC,2020,2022,67,70,€1M,1000000.0,€4K,4000.0,€1.1M
Germany,"CB, RB",CB,DEF,P. Ziereis,27,189cm,82kg,FC St. Pauli,2013,2022,67,70,€1.2M,1200000.0,€6K,6000.0,€1.3M
Montenegro,"CM, CDM",CM,MID,D. Hočko,26,175cm,70kg,Royal Excel Mouscron,2019,2022,67,70,€1.3M,1300000.0,€4K,4000.0,€1.4M
Colombia,CDM,CB,DEF,F. Rodríguez,33,186cm,78kg,Deportivo Pasto,2020,2025,67,67,€500K,500000.0,€900,900.0,€506K
Portugal,CAM,CAM,MID,Rafael Barbosa,24,170cm,65kg,CD Tondela,2020,2023,67,73,€1.6M,1600000.0,€3K,3000.0,€2.3M
Germany,"LM, RM",LM,MID,V. Tasar,23,174cm,65kg,FC Luzern,2020,2024,67,73,€1.6M,1600000.0,€5K,5000.0,€1.7M
Netherlands,GK,GK,GK,K. Scherpen,20,202cm,85kg,Ajax,2019,2023,67,81,€2.1M,2100000.0,€3K,3000.0,€2.8M
Australia,"LM, ST",LM,MID,M. Duke,29,186cm,84kg,Al Taawoun,2020,2022,67,67,€1M,1000000.0,€9K,9000.0,€1.2M
Germany,GK,GK,GK,T. Kirschbaum,33,195cm,88kg,VVV-Venlo,2019,2021,67,67,€325K,325000.0,€2K,2000.0,€580K
Peru,"CDM, CM",CDM,MID,J. Pretell,21,171cm,66kg,Melgar FBC,2019,2024,67,82,€2.4M,2400000.0,€500,500.0,€4.4M
Netherlands,"RB, RWB, CB",CDM,MID,A. Dijksteel,23,183cm,72kg,Middlesbrough,2019,2022,67,75,€2.2M,2200000.0,€5K,5000.0,€2.1M
Brazil,"CM, CDM, CB",CDM,MID,Sérgio Espinho,24,176cm,74kg,Vasco da Gama,2019,2023,67,67,€1.2M,1200000.0,€5K,5000.0,€1.6M
Brazil,"CDM, CB",CB,DEF,Jonas,28,180cm,75kg,Al Ittihad,2018,2021,67,67,€900K,900000.0,€12K,12000.0,€1.1M
Spain,LB,LWB,DEF,Moi Delgado,26,173cm,66kg,CF Fuenlabrada,Jun ,Loan,67,70,€1.2M,1200000.0,€6K,6000.0,€0
France,GK,GK,GK,B. Maubleu,30,192cm,83kg,Grenoble Foot 38,2014,2021,67,67,€675K,675000.0,€2K,2000.0,€919K
China PR,ST,ST,ATT,Xiao Zhi,35,187cm,70kg,Tianjin TEDA FC,2020,2021,67,67,€425K,425000.0,€5K,5000.0,€543K
England,"RM, LM",RM,MID,J. Clarke,19,181cm,74kg,Tottenham Hotspur,2019,2023,67,81,€2.4M,2400000.0,€13K,13000.0,€4M
Spain,CB,CB,DEF,Adrián Diéguez,24,188cm,69kg,CF Fuenlabrada,2020,2024,67,74,€1.9M,1900000.0,€2K,2000.0,€1.7M
Italy,"LB, LM",LB,DEF,F. Dimarco,22,175cm,72kg,Hellas Verona,Jun ,Loan,67,75,€2.2M,2200000.0,€20K,20000.0,€0
Turkey,"CAM, ST, LM",RW,ATT,M. Çelik,30,177cm,75kg,Kayserispor,2020,2021,67,67,€975K,975000.0,€5K,5000.0,€1.5M
Venezuela,GK,GK,GK,A. Araque,24,180cm,80kg,Estudiantes de Mérida,2018,2021,67,73,€1.3M,1300000.0,€500,500.0,€1.9M
Netherlands,"CB, RB",CB,DEF,J. Teze,20,183cm,68kg,PSV,2016,2021,67,79,€2.3M,2300000.0,€4K,4000.0,€2.1M
Wales,"CB, CDM",CB,DEF,E. Ampadu,19,183cm,78kg,Sheffield United,2017,2023,67,84,€2.5M,2500000.0,€6K,6000.0,€3.8M
Austria,CB,CB,DEF,M. Sonnleitner,33,182cm,82kg,SK Rapid Wien,2010,2021,67,67,€475K,475000.0,€9K,9000.0,€525K
Poland,"CAM, CM",CAM,MID,B. Nowak,26,180cm,73kg,Górnik Zabrze,2020,2022,67,68,€1.2M,1200000.0,€2K,2000.0,€1.3M
Ecuador,"CAM, CDM, CM",CAM,MID,J. Cevallos,25,186cm,76kg,Emelec,2020,2023,67,71,€1.4M,1400000.0,€500,500.0,€2.2M
Ivory Coast,ST,ST,ATT,D. Bamba,25,184cm,75kg,SK Brann,2018,2021,67,72,€1.5M,1500000.0,€2K,2000.0,€1.3M
Germany,"LB, LM",LB,DEF,K. Wolze,30,174cm,70kg,VfL Osnabrück,2019,2021,67,67,€875K,875000.0,€5K,5000.0,€930K
Chile,"CB, LB",CB,DEF,R. Osorio,25,180cm,68kg,Coquimbo Unido,2013,2020,67,73,€1.4M,1400000.0,€1K,1000.0,€1.4M
China PR,"RB, LB",RB,DEF,Deng Hanwen,25,178cm,73kg,Guangzhou Evergrande Taobao FC,2018,2021,67,72,€1.4M,1400000.0,€7K,7000.0,€1.5M
Germany,"CAM, RW, RM",RM,MID,P. Türpitz,28,178cm,74kg,SV Sandhausen,2019,2021,67,67,€1M,1000000.0,€3K,3000.0,€1.2M
Spain,"LM, RM",LM,MID,Álex Blanco,21,175cm,70kg,Valencia CF,2017,2021,67,79,€2.5M,2500000.0,€8K,8000.0,€3.2M
Argentina,RW,CAM,MID,B. Rollheiser,20,175cm,71kg,River Plate,2019,2022,67,82,€2.5M,2500000.0,€5K,5000.0,€3.4M
Azerbaijan,"CDM, CM",CB,DEF,Eddy Silvestre,27,191cm,80kg,Albacete BP,2019,2023,67,68,€1M,1000000.0,€3K,3000.0,€1.3M
Germany,"RM, LM",RM,MID,T. Baumgart,22,181cm,74kg,FC Erzgebirge Aue,2018,2023,67,75,€2.3M,2300000.0,€3K,3000.0,€1.9M
Slovakia,"RM, LM, ST",RM,MID,E. Jirka,22,182cm,73kg,CD Mirandés,2019,2022,67,76,€2.3M,2300000.0,€3K,3000.0,€2.1M
Montenegro,ST,ST,ATT,F. Bećiraj,32,188cm,82kg,Wisła Kraków,2020,2022,67,67,€825K,825000.0,€2K,2000.0,€810K
Sweden,"RW, LW",RW,ATT,S. Lundholm,26,180cm,75kg,IK Sirius,2017,2021,67,68,€1.2M,1200000.0,€2K,2000.0,€1.2M
Turkey,"RM, LM, RB",RM,MID,T. Bingöl,27,180cm,74kg,Alanyaspor,2019,2022,67,67,€1.1M,1100000.0,€5K,5000.0,€1.6M
Austria,"LM, RM, CAM",RM,MID,K. Arase,21,172cm,62kg,SK Rapid Wien,2018,2022,67,76,€2.3M,2300000.0,€7K,7000.0,€2M
Brazil,CM,CM,MID,Silaldo Taffarel,28,181cm,80kg,São Paulo,2019,2023,67,67,€1M,1000000.0,€12K,12000.0,€1.4M
Estonia,CB,CB,DEF,K. Mets,27,191cm,80kg,AIK,2019,2021,67,69,€1.1M,1100000.0,€3K,3000.0,€1.1M
Georgia,"RM, CAM",CAM,MID,G. Papunashvili,24,179cm,76kg,Real Zaragoza,2017,2022,67,70,€1.4M,1400000.0,€3K,3000.0,€1.6M
Ecuador,LM,LM,MID,K. Mercado,25,172cm,76kg,Club Necaxa,2019,2021,67,70,€1.3M,1300000.0,€5K,5000.0,€1.6M
Switzerland,"RB, RWB",RB,DEF,Q. Maceiras,24,181cm,75kg,BSC Young Boys,2020,2024,67,74,€1.9M,1900000.0,€6K,6000.0,€1.6M
Peru,CB,CB,DEF,A. Santamaría,28,183cm,80kg,Club Atlas,2019,2022,67,69,€1M,1000000.0,€5K,5000.0,€1.4M
France,ST,ST,ATT,S. Banza,23,189cm,77kg,Racing Club de Lens,2016,2023,67,73,€1.6M,1600000.0,€12K,12000.0,€2.4M
Serbia,CB,CB,DEF,N. Rnić,35,179cm,73kg,Wolfsberger AC,2015,2021,67,67,€275K,275000.0,€4K,4000.0,€334K
Spain,"RM, LM, ST",CAM,MID,Juan Hernández,25,177cm,63kg,CE Sabadell FC,Jun ,Loan,67,70,€1.3M,1300000.0,€7K,7000.0,€0
Argentina,"LM, RM, RW",CAM,MID,S. Rosales,25,180cm,72kg,Central Córdoba,Jun ,Loan,67,70,€1.3M,1300000.0,€6K,6000.0,€0
Poland,"CDM, CM, RWB",CDM,MID,S. Mrowca,26,177cm,79kg,SV Wehen Wiesbaden,2014,2021,67,70,€1.2M,1200000.0,€3K,3000.0,€1.3M
Saudi Arabia,LB,LB,DEF,M. Al Harbi,32,175cm,75kg,Al Ittihad,2018,2021,67,67,€700K,700000.0,€11K,11000.0,€808K
Germany,ST,ST,ATT,S. Schimmer,26,185cm,75kg,1. FC Heidenheim 1846,2019,2023,67,69,€1.3M,1300000.0,€9K,9000.0,€1.5M
Czech Republic,ST,ST,ATT,T. Pekhart,31,194cm,82kg,Legia Warszawa,2020,2022,67,67,€850K,850000.0,€5K,5000.0,€945K
United States,GK,GK,GK,A. Bono,26,191cm,88kg,Toronto FC,2015,2020,67,69,€950K,950000.0,€2K,2000.0,€1.1M
Spain,"CAM, RM, CM",CAM,MID,Jon Toral,25,184cm,77kg,Birmingham City,2020,2021,67,70,€1.3M,1300000.0,€6K,6000.0,€1.9M
United States,"CAM, CM, RM",CAM,MID,P. Pomykal,20,170cm,66kg,FC Dallas,2016,2023,67,77,€2.2M,2200000.0,€2K,2000.0,€2M
England,"CDM, CM",CM,MID,S. Field,22,185cm,65kg,West Bromwich Albion,2015,2022,67,78,€2.2M,2200000.0,€19K,19000.0,€2.6M
